ident	numarticle
asco1	159
asco2	265
asco3	266
asco4	257
asco5	295
asco6	268
asco7	269
asco8	270
asco9	271
asco10	272
asco11	273
asco12	274
asco13	326
asco14	276
asco16	277
asco17	351
asco18	279
asco19	280
asco20	281
asco21	282
asco23	283
asco24	284
asco25	285
asco26	286
asco27	287
asco28	288
asco29	289
asco30	290
asco31	352
asco33	292
asco34	293
asco35	303
asco36	296
asco37	297
asco38	298
asco39	299
asco40	300
asco41	353
asco42	302
asco43	275
asco44	304
asco46	305
asco47	306
asco48	307
asco49	308
asco50	309
asco51	310
asco52	312
asco53	313
asco54	314
asco55	315
asco56	338
asco57	339
asco58	341
asco59	342
asco60	316
asco61	317
asco62	318
asco63	354
asco64	320
asco65	321
asco66	322
asco67	323
asco68	324
asco69	325
asco70	267
asco71	327
asco72	328
asco73	698
asco74	329
asco75	330
asco76	331
asco77	332
asco78	333
asco79	334
asco80	335
asco81	285
asco82	336
asco83	337
asco84	348
asco86	596
asco87	360
asco88	279
asco89	310
asco90	328
asco91	392
asco92	619
asco93	313
asco94	595
asco95	597
asco96	310
asco98	272
asco99	695
asco100	770
asco101	786
asco102	334
asco103	318
asco104	824
asco105	923
asco106	928
asco109	1203
asco110	1318
asco111	7480
asco112	7482
asco112	7482
asco113	9243
